Benchmark Example, Type, Invariant, Z3 Check Pass, Code2Inv Converged, Simplified Expression, CE-s Count, Solve-Time
129, hybrid_loop_spec, ( ( y < 1 && y >= ( 1 * 1 ) ) || ( x > ( 1 - 1 ) && y <= ( x * y ) ) ), Passed, Yes, "[Or(And(Not(1 <= y), y >= 1), And(Not(x <= 0), y <= x*y))]",  11,  14.27
12, hybrid_loop_spec, ( y > ( x - 20 ) ), Passed, Yes, "[Not(y <= -20 + x)]",  13,  36.37
132, hybrid_loop_spec, ( ( c == 48 || c <= c ) && j <= j && ( i >= ( 0 * 0 ) || i == ( 48 * 57 ) ) ), Passed, Yes, "[Or(i >= 0, i == 2736)]",  9,  44.40
133, hybrid_loop_spec, ( ( x == x || n > x ) && ( x == ( n * 1 ) || x < ( 1 + n ) ) ), Passed, Yes, "[Or(Not(n <= -1 + x), x == n)]",  14,  13.83
13, hybrid_loop_spec, ( y > ( x - 4 ) ), Passed, Yes, "[Not(y <= -4 + x)]",  16,  15.71
14, hybrid_loop_spec, ( x < ( 4 + y ) ), Passed, Yes, "[Not(y <= -4 + x)]",  23,  36.82
15, hybrid_loop_spec, ( ( n <= ( 2 * 0 ) || n > m ) && ( n >= ( 0 + n ) || m >= ( 0 - x ) ) && ( m > ( 0 * n ) || x == ( x - 0 ) ) ), Passed, Yes, "[Or(n <= 0, Not(n <= m))]",  25,  46.86
16, hybrid_loop_spec, ( ( x >= m && m >= 0 ) ), Passed, Yes, "[x >= m, m >= 0]",  12,  53.16
17, hybrid_loop_spec, ( ( x == 1 || m < ( n * 1 ) ) && ( m == x || m < x ) && m <= ( 1 * x ) ), Passed, Yes, "[Or(x == 1, Not(n <= m)), Or(m == x, Not(x <= m)), m <= x]",  21,  132.47
18, hybrid_loop_spec, ( ( x >= n || x < ( x + x ) ) && n <= ( n * m ) ), Passed, Yes, "[Or(x >= n, Not(x <= 0)), n <= m*n]",  17,  50.49
19, hybrid_loop_spec, ( m <= ( 0 - 0 ) || ( m >= 0 && n == 0 ) || n > m ), Passed, Yes, "[Or(And(m >= 0, n == 0), m <= 0, Not(n <= m))]",  33,  118.25
20, hybrid_loop_spec, ( ( x >= ( m - x ) && m >= ( x - x ) ) || ( m >= ( m - x ) && m > n ) ), Passed, Yes, "[Or(And(2*x >= m, m >= 0), And(x >= 0, Not(m <= n)))]",  43,  511.81
21, hybrid_loop_spec, ( m < n || m <= 1 || ( m == ( x - x ) && n > ( x * x ) ) ), Passed, Yes, "[Or(Not(n <= m), m <= 1, And(m == 0, Not(n <= x*x)))]",  26,  260.26
22, hybrid_loop_spec, ( ( x > ( x - m ) && x >= 1 ) ), Passed, Yes, "[Not(m <= 0), x >= 1]",  23,  333.59
25, hybrid_loop_spec, ( x == ( x - 1 ) || x >= ( x * 0 ) ), Passed, Yes, "[x >= 0]",  2,  11.84
28, hybrid_loop_spec, ( n == ( x * 1 ) || x >= ( 2 - 2 ) ), Passed, Yes, "[Or(n == x, x >= 0)]",  13,  171.11
29, hybrid_loop_spec, ( ( x >= ( n - n ) && n < ( n + n ) ) || ( x >= ( n * 2 ) && n <= n ) ), Passed, Yes, "[Or(And(x >= 0, Not(n <= 0)), x >= 2*n)]",  17,  69.38
2, hybrid_loop_spec, ( ( x > ( y * y ) && y >= ( y + y ) ) || ( y < ( 1000 * y ) && y <= x ) ), Passed, Yes, "[Or(And(Not(x <= y*y), y <= 0), And(Not(y <= 0), y <= x))]",  34,  266.00
30, hybrid_loop_spec, ( x == ( x - 1 ) || x >= ( x * 0 ) ), Passed, Yes, "[x >= 0]",  2,  11.83
33, hybrid_loop_spec, ( ( x <= ( x * 2 ) || x > ( x + n ) ) ), Passed, Yes, "[Or(x >= 0, Not(0 <= n))]",  12,  29.96
34, hybrid_loop_spec, ( x >= ( n * 0 ) || ( x >= ( n * 2 ) && x <= ( n + 1 ) ) ), Passed, Yes, "[Or(x >= 0, And(x >= 2*n, x <= 1 + n))]",  16,  90.60
35, hybrid_loop_spec, ( c == ( c - 40 ) || c >= ( c * 0 ) ), Passed, Yes, "[c >= 0]",  2,  10.48
36, hybrid_loop_spec, ( c <= 40 || c == ( 40 + c ) || c > ( c * c ) ), Passed, Yes, "[Or(c <= 40, Not(c <= c*c))]",  22,  17.17
37, hybrid_loop_spec, ( c == ( c - 40 ) || c >= ( c * 0 ) ), Passed, Yes, "[c >= 0]",  2,  10.49
38, hybrid_loop_spec, ( c > ( n * c ) || c <= ( c + n ) ), Passed, Yes, "[Or(Not(c <= c*n), 0 <= n)]",  3,  11.87
39, hybrid_loop_spec, ( c > ( n * c ) || c <= ( c + n ) ), Passed, Yes, "[Or(Not(c <= c*n), 0 <= n)]",  3,  11.91
3, hybrid_loop_spec, ( y <= ( 0 + z ) || ( x == ( 0 * x ) && x <= ( 0 + z ) ) || x < ( 5 + 0 ) ), Passed, Yes, "[Or(y <= z, And(x == 0, x <= z), Not(5 <= x))]",  28,  315.62
40, hybrid_loop_spec, ( c >= ( 0 - n ) && ( n > ( c - n ) || c >= 0 ) && c > ( 1 - 2 ) ), Passed, Yes, "[c >= -1*n, Or(Not(2*n <= c), c >= 0), Not(c <= -1)]",  18,  23.98
41, hybrid_loop_spec, ( ( c < ( n - 0 ) && c < ( 2 - 1 ) ) ), Passed, Yes, "[Not(n <= c), Not(1 <= c)]",  11,  13.67
42, hybrid_loop_spec, ( n > ( n * c ) && ( c < ( 2 + c ) || n >= ( n + 0 ) ) ), Passed, Yes, "[Not(n <= c*n)]",  1,  10.46
43, hybrid_loop_spec, ( n > 0 && ( c < ( 2 + 2 ) || c > ( n - 2 ) ) && c == ( c * 1 ) ), Passed, Yes, "[Not(n <= 0), Or(Not(4 <= c), Not(c <= -2 + n))]",  4,  10.58
44, hybrid_loop_spec, ( n > 0 && ( c < ( 2 + 2 ) || c > ( n - 2 ) ) && c == ( c * 1 ) ), Passed, Yes, "[Not(n <= 0), Or(Not(4 <= c), Not(c <= -2 + n))]",  4,  10.59
45, hybrid_loop_spec, ( c >= ( c * 0 ) ), Passed, Yes, "[c >= 0]",  21,  20.56
46, hybrid_loop_spec, ( ( n >= ( c + 0 ) || n > n ) && ( c == ( 0 * n ) || n >= 0 ) && c < ( n + c ) ), Passed, Yes, "[n >= c, Or(c == 0, n >= 0), Not(n <= 0)]",  14,  24.90
47, hybrid_loop_spec, ( c > ( n * c ) || c <= ( c + n ) ), Passed, Yes, "[Or(Not(c <= c*n), 0 <= n)]",  3,  11.87
48, hybrid_loop_spec, ( n >= ( 2 * 0 ) ), Passed, Yes, "[n >= 0]",  19,  19.07
49, hybrid_loop_spec, ( n >= ( 2 * 0 ) ), Passed, Yes, "[n >= 0]",  19,  18.16
4, hybrid_loop_spec, ( ( z > ( z * z ) && x == ( 0 * y ) ) || y <= ( z + 0 ) || ( x >= ( 0 * z ) && x >= ( x + x ) ) ), Passed, Yes, "[Or(And(x >= 0, x <= 0), And(Not(z <= z*z), x == 0), y <= z)]",  23,  65.37
50, hybrid_loop_spec, ( c == ( c - 4 ) || c >= ( c * 0 ) ), Passed, Yes, "[c >= 0]",  2,  10.48
51, hybrid_loop_spec, ( c <= ( 2 + 2 ) ), Passed, Yes, "[c <= 4]",  17,  13.97
52, hybrid_loop_spec, ( c == ( c - 4 ) || c >= ( c * 0 ) ), Passed, Yes, "[c >= 0]",  2,  10.48
53, hybrid_loop_spec, ( ( n == 0 || n >= c ) && ( c < n || n >= 1 ) && ( n < ( n * 1 ) || c == ( c * c ) ) ), Passed, Yes, "[Or(n == 0, n >= c), Or(Not(n <= c), n >= 1), c == c*c]",  19,  15.85
54, hybrid_loop_spec, ( n > ( c + 0 ) ), Passed, Yes, "[Not(n <= c)]",  10,  10.79
55, hybrid_loop_spec, ( n > ( n * c ) && ( c < ( 2 + c ) || n >= ( n + 0 ) ) ), Passed, Yes, "[Not(n <= c*n)]",  1,  10.45
56, hybrid_loop_spec, ( n > ( c * n ) ), Passed, Yes, "[Not(n <= c*n)]",  19,  16.77
57, hybrid_loop_spec, ( ( n == ( n + 1 ) || n > c ) ), Passed, Yes, "[Not(n <= c)]",  27,  16.25
58, hybrid_loop_spec, ( c >= ( c * 0 ) ), Passed, Yes, "[c >= 0]",  21,  20.94
59, hybrid_loop_spec, ( ( n >= ( c + 0 ) || n > n ) && ( c == ( 0 * n ) || n >= 0 ) && c < ( n + c ) ), Passed, Yes, "[n >= c, Or(c == 0, n >= 0), Not(n <= 0)]",  14,  25.10
5, hybrid_loop_spec, ( ( x <= ( 0 * size ) || z >= y ) ), Passed, Yes, "[Or(x <= 0, z >= y)]",  19,  289.22
60, hybrid_loop_spec, ( c > ( n * c ) || c <= ( c + n ) ), Passed, Yes, "[Or(Not(c <= c*n), 0 <= n)]",  3,  11.87
63, hybrid_loop_spec, ( x == ( x * x ) || y >= ( 0 * 0 ) ), Passed, Yes, "[Or(y >= 0, x == x*x)]",  20,  42.06
64, hybrid_loop_spec, ( y <= ( 10 - 1 ) || ( y > ( 1 + y ) && y >= ( 1 + 1 ) ) || x < ( 10 * 1 ) ), Passed, Yes, "[Or(y <= 9, Not(10 <= x))]",  9,  14.86
65, hybrid_loop_spec, ( y <= ( y + y ) || ( x >= ( 0 * x ) && x < ( 100 - 0 ) ) || ( y >= x && x == ( 100 * 0 ) ) ), Passed, Yes, "[Or(And(y >= x, x == 0), y >= 0, And(x >= 0, Not(100 <= x)))]",  18,  40.63
67, hybrid_loop_spec, ( ( x >= 0 && y <= ( x * y ) ) || n < 0 ), Passed, Yes, "[Or(And(x >= 0, y <= x*y), Not(0 <= n))]",  9,  27.31
68, hybrid_loop_spec, ( ( n >= ( x * 1 ) && n >= n ) || ( n <= 0 && n < ( 2 * 2 ) ) || ( n >= ( y * 1 ) && n >= n ) ), Passed, Yes, "[Or(And(n <= 0, Not(4 <= n)), n >= y, n >= x)]",  15,  230.99
69, hybrid_loop_spec, ( x <= ( 0 + 1 ) || ( y >= ( 2 + 1 ) && y <= ( y + 1 ) ) || ( y >= ( 2 * 0 ) && y >= 0 ) ), Passed, Yes, "[Or(y >= 0, x <= 1, y >= 3)]",  13,  359.13
6, hybrid_loop_spec, ( x == 0 || y <= ( z * 1 ) || ( z >= ( x + size ) && z == ( 1 - size ) ) ), Passed, Yes, "[Or(x == 0, And(z >= x + size, z == 1 + -1*size), y <= z)]",  15,  239.10
70, hybrid_loop_spec, ( ( y >= ( x * y ) && n == ( 1 * n ) ) || n > ( 1 * y ) || n < 0 ), Passed, Yes, "[Or(y >= x*y, Not(n <= y), Not(0 <= n))]",  11,  129.43
71, hybrid_loop_spec, ( z > 0 ), Passed, Yes, "[Not(z <= 0)]",  23,  24.58
73, hybrid_loop_spec, ( y > ( 127 - 1 ) || c == ( y + z ) ), Passed, Yes, "[Or(Not(y <= 126), c == y + z)]",  18,  23.47
74, hybrid_loop_spec, ( z > ( 0 - 1 ) && c >= ( c - 36 ) ), Passed, Yes, "[Not(z <= -1)]",  17,  28.76
76, hybrid_loop_spec, ( y < ( y + 1 ) ), Passed, Yes, "[]",  1,  11.27
77, hybrid_loop_spec, ( x >= ( 0 + y ) ), Passed, Yes, "[x >= y]",  9,  26.95
78, hybrid_loop_spec, ( i >= 0 ), Passed, Yes, "[i >= 0]",  16,  19.34
79, hybrid_loop_spec, ( x >= 0 || ( y > ( i - i ) && x > x ) ), Passed, Yes, "[x >= 0]",  16,  15.75
7, hybrid_loop_spec, ( ( x >= ( 0 - 2 ) || y > 2 ) && x <= ( 10 + y ) ), Passed, Yes, "[Or(x >= -2, Not(y <= 2)), x <= 10 + y]",  14,  16.15
80, hybrid_loop_spec, ( x >= ( 0 + y ) ), Passed, Yes, "[x >= y]",  9,  27.18
81, hybrid_loop_spec, ( i >= 0 ), Passed, Yes, "[i >= 0]",  16,  19.42
82, hybrid_loop_spec, ( x >= 0 || ( y > ( i - i ) && x > x ) ), Passed, Yes, "[x >= 0]",  16,  15.65
83, hybrid_loop_spec, ( y > ( y + x ) || ( y > ( 0 * 1 ) && y > ( -5000 + 0 ) ) ), Passed, Yes, "None",  16,  36.92
84, hybrid_loop_spec, ( y > ( y + x ) || ( y > ( 0 * 1 ) && y > ( -50 + 0 ) ) ), Passed, Yes, "None",  16,  36.34
85, hybrid_loop_spec, ( ( x < 0 || y > 1 ) && y <= ( y + 1 ) ), Passed, Yes, "[Or(Not(0 <= x), Not(y <= 1))]",  15,  32.07
86, hybrid_loop_spec, ( x < ( y * 0 ) || x < ( y * 1 ) || x < ( -50 + 0 ) ), Passed, Yes, "None",  16,  71.03
87, hybrid_loop_spec, ( x == ( y * 1 ) && ( lock > ( y * y ) || lock == ( 1 * 1 ) ) && ( lock <= ( 0 + y ) || lock == ( 1 * 1 ) ) ), Passed, Yes, "[Or(Not(lock <= y*y), lock == 1), Or(lock <= y, lock == 1)]",  12,  233.97
88, hybrid_loop_spec, ( ( lock <= ( 2 - lock ) && y > ( x - lock ) ) ), Passed, Yes, "[lock <= 1, Not(y <= x + -1*lock)]",  15,  356.32
89, hybrid_loop_spec, ( lock == 1 || ( x <= ( y - 1 ) && x <= ( x + 1 ) ) ), Passed, Yes, "[Or(lock == 1, x <= -1 + y)]",  10,  139.29
8, hybrid_loop_spec, ( y > ( x - 20 ) ), Passed, Yes, "[Not(y <= -20 + x)]",  13,  18.91
90, hybrid_loop_spec, ( lock == 1 || x < ( y * 1 ) ), Passed, Yes, "[Or(Not(y <= x), lock == 1)]",  15,  279.04
91, hybrid_loop_spec, ( y == 0 && y == ( 0 - x ) && y >= 0 ), Passed, Yes, "[]",  19,  23.72
92, hybrid_loop_spec, ( ( x < ( y + y ) && x == ( 1 + x ) ) || ( x == ( x + y ) && y == ( x * 1 ) ) ), Passed, Yes, "[]",  18,  23.04
95, hybrid_loop_spec, ( ( i > ( 2 + i ) || j == ( y * i ) ) ), Passed, Yes, "[]",  18,  67.17
96, hybrid_loop_spec, ( ( y >= ( j - 1 ) || j == ( j * 1 ) ) && j == ( y * i ) && ( j == ( j * 1 ) || y <= x ) ), Passed, Yes, "[]",  14,  100.06
97, hybrid_loop_spec, ( y > ( 1 * 1 ) ), Passed, Yes, "[Not(y <= 1)]",  11,  16.12
98, hybrid_loop_spec, ( ( j < ( y + j ) && y >= 2 ) ), Passed, Yes, "[Not(y <= 0), y >= 2]",  13,  31.81
99, hybrid_loop_spec, ( n == ( y + x ) ), Passed, Yes, "[]",  15,  293.59
9, hybrid_loop_spec, ( x <= ( y + 2 ) && y == y ), Passed, Yes, "[x <= 2 + y]",  18,  58.61
